# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	398
#@/user_id	da1390ef-815e-4a51-b807-fa295c9dead2
an jian 	按鍵	c=2 d=0.63505 t=398
an jian 	案件	c=1 d=0.196912 t=398
an zhuang 	安裝	c=3 d=2.36567 t=398
bai ye 	白夜	c=0 d=0.1 t=375
bai ye xing 	白夜行	c=1 d=1 t=376
ban ben 	版本	c=2 d=1.71653 t=398
ban ben zhi zhen 	版本指針	c=1 d=0.83527 t=398
bao liu 	保留	c=1 d=0.906584 t=398
bao liu wen jian 	保留文件	c=1 d=0.771052 t=398
bei fen 	備份	c=2 d=2.06362 t=359
bei fen wen jian 	備份文件	c=1 d=1.06561 t=363
ben di 	本地	c=0 d=0.154139 t=398
ben di cang ku 	本地倉庫	c=5 d=2.89927 t=398
bian cheng 	編程	c=1 d=1 t=385
bian ji 	編輯	c=1 d=0.697014 t=398
bian ji gong ju 	編輯工具	c=1 d=0.909373 t=398
bian ma 	編碼	c=1 d=0.228779 t=398
biao 	表	c=1 d=0.487283 t=398
biao shi 	表示	c=1 d=0.275271 t=398
bing 	並	c=0 d=0.0916898 t=398
bing gai ming 	並改名	c=1 d=0.311923 t=398
bing ti jiao 	並提交	c=1 d=0.609571 t=398
bu 	不	c=0 d=0.138809 t=398
bu bao liu 	不保留	c=1 d=0.744532 t=398
bu cun zai 	不存在	c=1 d=0.574072 t=398
bu jia 	不加	c=1 d=0.319819 t=398
bu qi dong 	不啓動	c=1 d=0.650509 t=398
bu shi 	不是	c=0 d=0.067368 t=398
bu shi zhu fen zhi 	不是住分支	c=1 d=0.677057 t=398
bu yao 	不要	c=1 d=0.580308 t=398
bu yao zai 	不要在	c=1 d=0.66365 t=398
can kao 	參考	c=1 d=0.325735 t=398
cang ku 	倉庫	c=3 d=1.86098 t=398
cang ku di zhi 	倉庫地址	c=2 d=1.12181 t=398
cao zuo 	操作	c=1 d=0.666187 t=398
ce shi 	側室	c=1 d=0.400517 t=398
ce shi 	側視	c=2 d=0.748459 t=398
ce shi 	測試	c=5 d=2.04039 t=398
cha kan 	查看	c=1 d=0.798516 t=398
chang shi 	嘗試	c=1 d=0.71177 t=398
che hui 	撤回	c=2 d=1.7086 t=398
chong sheng 	重生	c=0 d=0.1 t=370
chong sheng tang san 	重生唐三	c=2 d=1.99501 t=372
chuang jian 	創建	c=3 d=1.52005 t=398
chui zhi 	垂直	c=0 d=0.0214381 t=398
chui zhi fang xiang 	垂直方向	c=1 d=0.215456 t=398
ci hui 	詞彙	c=1 d=1.07531 t=393
ci ku 	詞庫	c=4 d=3.99028 t=398
ci ku zhuan huan 	詞庫轉換	c=1 d=1 t=383
cun zai 	存在	c=1 d=0.565525 t=398
da quan 	大全	c=2 d=1.97045 t=395
da shen 	大神	c=0 d=0.1 t=389
da xiao 	大小	c=0 d=0.0433336 t=398
da zi 	打字	c=1 d=0.379083 t=398
dai ma 	代碼	c=0 d=0.0733447 t=398
dai ma hui tui 	代碼回退	c=1 d=0.737123 t=398
dan du 	單獨	c=1 d=0.321024 t=398
dan du ruan jian 	單獨軟件	c=1 d=0.25924 t=398
dan ge 	單個	c=0 d=0.0852144 t=398
dan ge wen jian 	單個文件	c=1 d=0.856415 t=398
dang qian 	當前	c=1 d=0.806541 t=398
dao 	到	c=1 d=0.724046 t=398
de 	的	c=2 d=0.961119 t=398
deng 	等	c=1 d=0.226502 t=398
deng lu 	登錄	c=1 d=0.501576 t=398
di zhi 	地址	c=0 d=0.0524663 t=398
dian huo 	點火	c=0 d=0.0427415 t=398
dian huo gong shi 	點火公式	c=1 d=0.429557 t=398
dian ji 	點擊	c=1 d=0.50409 t=398
dian nao 	電腦	c=1 d=1 t=387
ding shi 	定時	c=1 d=0.873716 t=398
ding zhi 	定製	c=1 d=0.336216 t=398
dong man 	動漫	c=0 d=0.0339596 t=398
dong man hua yuan 	動漫花園	c=1 d=0.341298 t=398
dou luo 	鬥羅	c=1 d=1 t=373
dui ying 	對應	c=1 d=0.362402 t=398
dui zhao 	對照	c=1 d=0.449329 t=398
er 	二	c=1 d=0.995012 t=398
fan ye 	翻頁	c=4 d=1.54454 t=398
fang fa 	方法	c=1 d=1.08806 t=398
fang fa yi 	方法一	c=1 d=0.985112 t=398
fang xiang 	方向	c=0 d=0.0426629 t=398
fen xiang 	分享	c=1 d=0.479505 t=398
fen zhi 	分支	c=2 d=1.35911 t=398
fu er 	福爾	c=0 d=0.1 t=374
fu er mo te 	福爾模特	c=1 d=1 t=375
fu hao 	符號	c=2 d=0.670223 t=398
fu wu 	服務	c=0 d=0.0644036 t=398
fu zhi dao 	複製到	c=1 d=0.307279 t=398
gai ming 	改名	c=0 d=0.0310367 t=398
gai wei 	改爲	c=1 d=0.232236 t=398
ge ge 	各個	c=0 d=0.0358796 t=398
ge ge an jian 	各個按鍵	c=1 d=0.360595 t=398
ge ren 	個人	c=1 d=0.895834 t=398
ge shu 	個數	c=1 d=0.203926 t=398
gong ju 	工具	c=0 d=0.0904837 t=398
gong shi 	公式	c=0 d=0.0427415 t=398
guan fang 	官方	c=0 d=0.0631284 t=398
guan fang can kao 	官方參考	c=1 d=0.634448 t=398
guan ji 	關機	c=2 d=1.76059 t=398
gui dang 	歸檔	c=1 d=0.960789 t=398
gui na 	歸納	c=1 d=0.456261 t=398
gui na qing dan 	歸納清單	c=1 d=0.416862 t=398
he 	和	c=3 d=1.11381 t=398
he bing 	合併	c=2 d=1.47487 t=398
he bing fen zhi 	合併分支	c=1 d=0.65377 t=398
hou 	後	c=1 d=0.80958 t=398
